flow_packet_count,flow_byte_count,rx_packets,tx_packets,rx_bytes,tx_bytes,label
867,1250214,869,184,1253098,265328,1
868,1251656,870,198,1254540,285516,1
868,1251656,869,303,1253098,436926,1
867,1250214,871,145,1255982,209090,1
868,1251656,871,1,1254582,60,1
868,1250287,869,169,1253098,243698,1
903,1254211,869,284,1253098,409528,1
868,1251656,870,291,1254540,419622,1
868,1251656,869,377,1253098,543634,1
867,1250214,869,471,1253098,679182,1
853,1230026,855,371,1232910,534982,1
867,1250214,870,627,1254540,904134,1
781,1126202,784,627,1129128,902752,1
868,1251656,871,267,1255982,385014,1
789,1137738,791,84,1140622,121128,1
986,1260210,870,47,1254540,67774,1
868,1251656,876,0,1263192,0,1
867,1250214,870,369,1254540,532098,1
867,1250214,868,558,1251656,804636,1
867,1250214,870,344,1254540,496048,1
868,1251656,870,441,1253140,634540,1
863,1244446,785,604,1131970,870968,1
914,1317988,869,17,1253098,24514,1
816,1132815,857,4,1235794,5768,1
803,1157926,805,671,1160810,967582,1
816,1132982,794,399,1144948,575358,1
867,1250214,869,6,1253098,8652,1
867,1250214,868,203,1251656,292726,1
867,1250214,870,128,1253140,183194,1
867,1250214,869,528,1253098,761376,1
868,1251656,870,60,1254540,86520,1
868,1251656,869,145,1253098,209090,1
782,1127644,784,17,1130528,24514,1
867,1250214,869,20,1253098,28840,1
867,1250214,870,22,1254540,31724,1
1078,1273213,872,0,1257424,0,1
867,1250214,874,1,1258908,60,1
868,1251656,871,7,1255982,10094,1
866,1248772,870,90,1254540,129780,1
868,1251656,869,112,1253098,161504,1
867,1250214,869,170,1253098,245140,1
869,1253098,870,216,1254540,311472,1
867,1250214,869,163,1253098,235046,1
869,1251774,871,0,1255982,0,1
929,1257530,873,1,1257466,60,1
868,1251656,855,0,1232910,0,1
849,1224258,872,0,1257424,0,1
867,1250214,871,8,1255982,11536,1
783,1129086,784,43,1130528,62006,1
868,1251656,869,262,1253098,377804,1
867,1250214,870,662,1254540,954604,1
855,1113054,699,655,1007958,944510,1
820,1182440,824,1,1186808,60,1
867,1250214,870,0,1254540,0,1
867,1250214,871,0,1255982,0,1
866,1248772,869,86,1253098,124012,1
868,1251656,795,71,1146390,102382,1
793,1143506,869,165,1253098,237930,1
845,1218490,848,87,1222816,125454,1
869,1253098,794,144,1144948,207648,1
724,1044008,727,99,1048334,142758,1
782,1127644,785,201,1130570,288460,1
718,1035356,719,189,1036798,272538,1
1014,1149403,781,333,1126202,480186,1
867,1250214,937,165,1351154,237930,1
887,1255798,802,124,1156484,178808,1
867,1250214,903,45,1302126,64890,1
867,1250214,869,2,1253098,2884,1
44299,63497152,295,29,40584,3655,0
818,1159231,15,0,1305,0,0
626,902692,0,3,0,261,0
1036,1293954,149,0,14900,0,0
977,1163314,180,26,14040,2600,0
935,1141234,163,78,26610,6066,0
828,1193976,0,19,0,3116,0
781,1126202,0,0,0,0,0
644,682165,179,0,11635,0,0
913,1253618,46,74,3404,4810,0
740,1067080,0,23,0,1702,0
782,1127644,0,0,0,0,0
1025,1478050,0,0,0,0,0
700,1009400,0,0,0,0,0
608,876736,0,0,0,0,0
949,1368458,0,0,0,0,0
868,1251656,0,0,0,0,0
782,1127644,0,0,0,0,0
753,963908,94,0,13630,0,0
847,1221374,1,22,42,3105,0
774,1116108,0,0,0,0,0
868,1251656,0,0,0,0,0
659,950278,0,0,0,0,0
814,1173788,0,0,0,0,0
782,1127644,0,0,0,0,0
868,1251656,0,0,0,0,0
803,1157926,0,0,0,0,0
783,1129086,0,0,0,0,0
889,1249830,23,0,1058,0,0
1040,1499680,1,5,42,244,0
731,889528,123,0,12792,0,0
778,1121876,0,3,0,312,0
876,1135503,110,0,7590,0,0
799,1023096,77,0,5313,0,0
770,1110340,0,3,0,207,0
712,1026704,0,0,0,0,0
672,969024,0,0,0,0,0
782,1127644,0,0,0,0,0
788,1136296,0,0,0,0,0
790,1139180,0,0,0,0,0
958,1095644,208,0,14144,0,0
714,1029588,1,29,42,1964,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
868,1251656,0,0,0,0,0
868,1251656,0,0,0,0,0
868,1251656,0,0,0,0,0
867,1250214,0,0,0,0,0
851,1227142,0,0,0,0,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
867,1250214,0,0,0,0,0
1050,1282414,182,0,30758,0,0
867,1250214,1,61,42,10200,0
867,1250214,0,0,0,0,0
866,1248772,0,0,0,0,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
846,1219932,0,0,0,0,0
1063,1259230,196,0,9016,0,0
868,1251656,0,0,0,0,0
928,1258937,61,0,8723,0,0
698,1006516,0,0,0,0,0
867,1250214,0,0,0,0,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
790,1139180,0,0,0,0,0
802,1155220,54,0,9612,0,0
988,1271548,69,1,11942,60,0
847,1030356,149,9,23840,1581,0
837,1206954,0,10,0,1600,0
783,1129086,0,0,0,0,0
650,937300,0,0,0,0,0
782,1127644,0,0,0,0,0
827,1192534,0,0,0,0,0
782,1127644,0,0,0,0,0
757,1091594,0,0,0,0,0
729,1051218,0,0,0,0,0
847,1221374,0,0,0,0,0
830,1196860,0,0,0,0,0
798,1150716,0,0,0,0,0
1063,1146514,287,0,22326,0,0
802,1151288,1,83,42,5231,0
783,1129086,0,11,0,1573,0
1146,1330326,249,0,36852,0,0
835,1204070,0,0,0,0,0
821,1183882,0,0,0,0,0
861,1241562,0,0,0,0,0
783,1129086,0,0,0,0,0
844,1217048,0,0,0,0,0
784,1130528,0,0,0,0,0
700,1009400,0,0,0,0,0
689,993538,0,0,0,0,0
671,967582,0,0,0,0,0
675,972022,7,0,798,0,0
1097,1280418,222,1,25236,60,0
784,1130528,0,41,0,4674,0
868,1251656,0,0,0,0,0
705,1016610,0,0,0,0,0
867,1250214,0,0,0,0,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
865,1247330,0,0,0,0,0
867,1250214,0,0,0,0,0
851,1227142,0,0,0,0,0
1027,1268294,160,0,18080,0,0
650,937300,1,25,42,2772,0
960,1384320,0,0,0,0,0
586,845012,0,0,0,0,0
782,1127644,0,0,0,0,0
863,1166266,60,0,8340,0,0
864,1245888,0,0,0,0,0
752,1032744,40,20,6040,2780,0
860,1240120,0,10,0,1510,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
782,1127644,0,0,0,0,0
741,1068522,0,0,0,0,0
674,971908,0,0,0,0,0
791,1140622,0,0,0,0,0
850,1225700,0,0,0,0,0
694,1000748,0,0,0,0,0
868,1251656,0,0,0,0,0
1187,1379959,243,0,18711,0,0
873,1258866,1,47,42,3602,0
867,1250214,0,0,0,0,0
782,1127644,0,0,0,0,0
868,1251656,0,0,0,0,0
868,1251656,0,0,0,0,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
866,1248772,0,0,0,0,0
868,1251656,0,0,0,0,0
867,1250214,0,0,0,0,0
867,1248904,18,0,2376,0,0
822,1025504,106,1,13902,60,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
782,1127644,0,0,0,0,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
868,1251656,0,0,0,0,0
952,1259989,85,0,9775,0,0
867,1250214,1,9,42,980,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
888,1251474,21,0,1260,0,0
783,1129086,0,1,0,60,0
868,1251656,0,0,0,0,0
868,1251656,0,0,0,0,0
1041,1501122,0,0,0,0,0
967,1146144,190,0,19000,0,0
678,960230,9,3,842,260,0
967,1394414,0,33,0,3300,0
877,1026002,183,0,25254,0,0
957,1379994,0,58,0,8004,0
694,1000748,0,0,0,0,0
1040,1499680,0,0,0,0,0
695,1002190,0,0,0,0,0
955,1377110,0,0,0,0,0
867,1250214,0,0,0,0,0
642,925764,0,0,0,0,0
534,770028,0,0,0,0,0
841,1211331,4,0,204,0,0
941,1166355,135,1,6876,60,0
868,1251656,0,9,0,459,0
783,1129086,0,0,0,0,0
868,1251656,0,0,0,0,0
867,1250214,0,0,0,0,0
783,1129086,0,0,0,0,0
782,1127644,0,0,0,0,0
721,1039682,0,0,0,0,0
1004,1255120,138,0,6348,0,0
867,1250214,1,7,42,336,0
774,1116108,0,0,0,0,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
1013,1225627,181,0,25883,0,0
868,1251656,0,29,0,4147,0
867,1250214,0,0,0,0,0
839,1209838,0,0,0,0,0
856,1234352,0,0,0,0,0
867,1250214,0,0,0,0,0
697,1005074,0,0,0,0,0
611,881062,0,0,0,0,0
824,1186934,72,0,12096,0,0
1022,1276254,85,1,14154,60,0
698,1006516,0,18,0,3024,0
732,1055544,0,0,0,0,0
1081,1303547,195,0,25935,0,0
694,1000748,0,25,0,3325,0
820,1182440,0,0,0,0,0
812,1118383,61,0,9821,0,0
919,1135610,129,1,20650,60,0
776,1118992,0,56,0,9016,0
710,1023820,0,0,0,0,0
983,1155721,189,0,10773,0,0
658,948836,0,50,0,2850,0
781,1126202,0,0,0,0,0
867,1250214,0,0,0,0,0
807,1163694,0,0,0,0,0
721,1039682,0,0,0,0,0
947,1145650,251,0,25351,0,0
861,1124895,1,84,42,8443,0
854,1231468,0,14,0,1414,0
803,1157926,0,0,0,0,0
856,1234352,0,0,0,0,0
777,1120434,0,0,0,0,0
752,1084384,0,0,0,0,0
584,842128,0,0,0,0,0
888,1280496,0,0,0,0,0
997,1146290,216,0,20088,0,0
799,1152158,1,12,42,1083,0
699,1007958,0,0,0,0,0
867,1250214,0,0,0,0,0
744,831698,182,0,21294,0,0
868,1251656,0,87,0,10179,0
822,1185324,0,0,0,0,0
782,1127644,0,0,0,0,0
868,1251656,0,0,0,0,0
867,1250214,0,0,0,0,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
815,1173949,45,0,7245,0,0
853,1173662,1,1,42,60,0
803,1157926,0,11,0,1771,0
715,1031030,0,0,0,0,0
1041,1501122,0,0,0,0,0
834,1202628,0,0,0,0,0
821,1183882,0,0,0,0,0
764,998563,75,0,5025,0,0
870,1254540,1,5,42,328,0
580,836360,0,0,0,0,0
781,1126202,0,0,0,0,0
856,1234352,0,0,0,0,0
974,1217824,141,0,16638,0,0
867,1250214,0,37,0,4366,0
733,1056986,0,0,0,0,0
735,1059870,0,0,0,0,0
845,1218490,0,0,0,0,0
781,1126202,0,0,0,0,0
784,1130528,0,0,0,0,0
1055,1173330,254,0,18288,0,0
723,1042566,1,21,42,1500,0
853,1230026,0,0,0,0,0
864,1135323,81,0,6237,0,0
824,1188208,0,9,0,693,0
761,1097362,0,0,0,0,0
697,1005074,0,0,0,0,0
718,1035356,0,0,0,0,0
840,1211280,0,0,0,0,0
591,852222,0,0,0,0,0
728,1049776,0,0,0,0,0
762,1098804,0,0,0,0,0
839,983378,169,0,17238,0,0
1042,1502564,1,1,42,60,0
611,881062,0,0,0,0,0
820,1182440,0,0,0,0,0
609,878178,0,0,0,0,0
731,1054102,0,0,0,0,0
914,1317988,0,0,0,0,0
695,1002190,0,0,0,0,0
893,1287706,0,0,0,0,0
868,1251656,0,0,0,0,0
1041,1274672,175,0,25900,0,0
816,1176672,1,3,42,356,0
887,1251974,20,12,1760,1776,0
851,1227142,0,0,0,0,0
868,1251656,0,0,0,0,0
866,1248772,0,0,0,0,0
868,1251656,0,0,0,0,0
868,1251656,0,0,0,0,0
